Configuration;CONFIG_PF_OMAP5_5432EVM;CONFIG_PF_OMAP3_OMAP35XEVM;CONFIG_CPU_VIRT;CONFIG_ARM;CONFIG_FPU;CONFIG_HAS_FPU_OPTION;CONFIG_BIT64;CONFIG_ARM_LPAE;CONFIG_MP;CONFIG_SCHED_HPET;CONFIG_PF_SUNXI;CONFIG_PF_KIRKWOOD;CONFIG_PF_EXYNOS_TIMER_MP;CONFIG_PF_EXYNOS_TIMER_MCT;CONFIG_ARM_SECMONIF_NONE;CONFIG_ARM_EM_NS;CONFIG_BIT32;CONFIG_CPU_MIPS32_R6;CONFIG_CPU_MIPS32_R2;CONFIG_PPC32;CONFIG_IA32;CONFIG_SPARC;CONFIG_PF_SEAD3;CONFIG_SCHED_RTC;CONFIG_PF_UX;CONFIG_PF_RPI;CONFIG_PF_OMAP4_PANDABOARD;CONFIG_PF_OMAP;CONFIG_ARM_CORTEX_A53;CONFIG_ARM_MPCORE;CONFIG_PF_CI20;CONFIG_PF_REALVIEW_EB;CONFIG_CAN_ARM_CACHE_L2CXX0;CONFIG_PF_IMX_8M;CONFIG_ARM_PSCI;CONFIG_WEAK_ORDERING;CONFIG_MIPS;CONFIG_CPU_MIPS64_R6;CONFIG_ARM_CORTEX_A8;CONFIG_PF_ARMADA38X;CONFIG_ARM_GIC;CONFIG_PF_RPI_RPI4;CONFIG_PF_RPI_UART_16550;CONFIG_PF_ZYNQMP;CONFIG_CPU_MIPS64_R2;CONFIG_CONTEXT_8K;CONFIG_PF_INTEGRATOR;CONFIG_PF_REALVIEW_RAM_PHYS_BASE_0x2;CONFIG_PF_REALVIEW;CONFIG_PF_REALVIEW_VEXPRESS_A15;CONFIG_PF_REALVIEW_VEXPRESS;CONFIG_PF_REALVIEW_RAM_PHYS_BASE_0x6;CONFIG_PF_Boston;CONFIG_PF_QEMU;CONFIG_PF_XSCALE;CONFIG_PF_SA1100;CONFIG_PF_TEGRA;CONFIG_PF_RPI_RPI1;CONFIG_PF_RPI_RPIZW;CONFIG_HAS_LIGHTWEIGHT_BARRIERS_OPTION;CONFIG_LIGHTWEIGHT_BARRIERS;CONFIG_PF_ARM_VIRT;CONFIG_KERNEL_ISOLATION;CONFIG_AMD64;CONFIG_NO_LDT;CONFIG_PF_EXYNOS5_5410;CONFIG_PF_EXYNOS5_5250;CONFIG_ARM_926;CONFIG_ARM_PXA;CONFIG_ARM_CORTEX_A35;CONFIG_PERF_CNT;CONFIG_HAS_CPU_VIRT;CONFIG_PF_PC;CONFIG_ARM_CORTEX_A15;CONFIG_PF_IMX_8X;CONFIG_ARM_CORTEX_A57;CONFIG_ARM_CORTEX_A7;CONFIG_SCHED_APIC;CONFIG_HAS_ARM_PSCI;CONFIG_PF_IMX;CONFIG_ARM_920T;CONFIG_JDB;CONFIG_SYS_HAS_CPU_MIPS64_R2;CONFIG_PF_MALTA;CONFIG_DISABLE_VIRT_OBJ_SPACE;CONFIG_EXPERIMENTAL;CONFIG_MIPS_CPU_FREQUENCY;CONFIG_PF_IMX_21;CONFIG_PF_IMX_28;CONFIG_PF_IMX_7;CONFIG_PF_EXYNOS;CONFIG_PF_ARMADA37XX;CONFIG_PF_S3C2410;CONFIG_PF_REALVIEW_PBX;CONFIG_PF_REALVIEW_RAM_PHYS_BASE_0x8;CONFIG_PF_REALVIEW_RAM_PHYS_BASE_0x7;CONFIG_PF_REALVIEW_RAM_PHYS_BASE_0x0;CONFIG_ARM_1176;CONFIG_PF_LAYERSCAPE;CONFIG_PF_IMX_51;CONFIG_ARM_CORTEX_A72;CONFIG_ARM_CORTEX_A5;CONFIG_PF_REALVIEW_VEXPRESS_A57;CONFIG_CAN_ARM_CPU_1176;CONFIG_ARM_PSCI_SMC;CONFIG_CAN_ARM_CPU_926;CONFIG_PF_BAIKAL_T;CONFIG_CAN_ARM_CPU_CORTEX_A15;CONFIG_VMEM_ALLOC_TEST;CONFIG_BIT64_CHOICE;CONFIG_PF_CI40;CONFIG_CPU_MIPSR6;CONFIG_CPU_MIPS64;CONFIG_CONTEXT_4K;CONFIG_MIPS_PAGE_SIZE_4K;CONFIG_MIPS_PAGE_SIZE_16K;CONFIG_PF_EXYNOS4_4412;CONFIG_PF_RPI_RPI2;CONFIG_PF_RCAR3;CONFIG_PF_EXYNOS_UART_NATIVE;CONFIG_PF_EXYNOS5;CONFIG_DEFAULT_ARM_EM_NS;CONFIG_SYS_HAS_CPU_MIPS32_R6;CONFIG_SYS_HAS_CPU_MIPS64_R6;CONFIG_DEBUG_KERNEL_PAGE_FAULTS;CONFIG_ONE_SHOT;CONFIG_ARM_EM_TZ;CONFIG_ARM_CORTEX_A9;CONFIG_HAVE_ARM_GICV3;CONFIG_HAVE_ARM_GICV2;CONFIG_VIRT_OBJ_SPACE;CONFIG_ARM_PSCI_HVC;CONFIG_ARM_V8;CONFIG_PF_MPC52XX;CONFIG_ARM_ALIGNMENT_CHECK;CONFIG_PF_ZYNQ;CONFIG_PF_REALVIEW_PB11MP;CONFIG_PF_EXYNOS4;CONFIG_PF_IMX_6;CONFIG_PF_TEGRA3;CONFIG_PF_TEGRA2;CONFIG_HAS_MP_OPTION;CONFIG_PF_LEON3;CONFIG_PF_IMX_6_TIMER_EPIT;CONFIG_PF_IMX_6_TIMER_MPTIMER;CONFIG_PF_OMAP3_AM33XX;CONFIG_ARM_1176_CACHE_ALIAS_FIX;CONFIG_HAS_VIRT_OBJ_SPACE_OPTION;CONFIG_HAS_SERIAL_OPTION;CONFIG_PF_EXYNOS_TIMER_GEN;CONFIG_ARM_SMC_USER;CONFIG_HAS_JDB_DISASM_OPTION;CONFIG_HAS_WEAK_ORDERING_OPTION;CONFIG_SCHED_PIT;CONFIG_SYS_HAS_CPU_MIPS32_R2;CONFIG_CAN_ARM_CPU_CORTEX_A5;CONFIG_ARM_SA;CONFIG_ARM_1136;CONFIG_PF_LS1021A;CONFIG_CAN_ARM_CPU_CORTEX_A7;CONFIG_PF_EXYNOS_EXTGIC;CONFIG_CAN_ARM_CPU_1136;CONFIG_PF_IMX_35;CONFIG_FORCE_ARM_PSCI_HVC;CONFIG_HAS_JDB_GZIP_OPTION;CONFIG_MIPS_LITTLE_ENDIAN;CONFIG_MIPS_BIG_ENDIAN;CONFIG_CPU_SUSPEND;CONFIG_HAS_WATCHDOG_OPTION;CONFIG_CAN_ARM_CPU_CORTEX_A8;CONFIG_CAN_ARM_CPU_CORTEX_A72;CONFIG_PF_IMX_6UL;CONFIG_ARM_V6;CONFIG_ARM_ENABLE_SWP;CONFIG_JDB_GZIP;CONFIG_ARM_V6PLUS;CONFIG_HOST_CXX;CONFIG_PF_LS1012A;CONFIG_HAS_IOMMU_OPTION;CONFIG_SCHED_WFQ;CONFIG_WATCHDOG;CONFIG_PPC32_603e;CONFIG_BEFORE_IRET_SANITY;CONFIG_PF_REALVIEW_VEXPRESS_A53;CONFIG_HAS_64BIT;CONFIG_PF_REALVIEW_VEXPRESS_A9;CONFIG_INTEL_IA32_BRANCH_BARRIERS;CONFIG_CAN_ARM_CPU_CORTEX_A57;CONFIG_CAN_ARM_CPU_CORTEX_A9;CONFIG_PF_EXYNOS4_4210;CONFIG_ARM_V7;CONFIG_IA32_PCID;CONFIG_CXX;CONFIG_REGPARM3;CONFIG_PF_RPI_UART_PL011;CONFIG_PF_EXYNOS_TIMER_PWM;CONFIG_HAS_LAZY_FPU;CONFIG_MP_MAX_CPUS;CONFIG_CAN_ARM_CPU_CORTEX_A53;CONFIG_ARM_SECMONIF_MC;CONFIG_HAVE_ARM_SECMONIF_MC;CONFIG_ARM_EM_STD;CONFIG_PF_MALTA_UP;CONFIG_CAN_MIPS_VZ_ASE;CONFIG_WARN_ANY;CONFIG_WARN_NONE;CONFIG_PF_OMAP3_BEAGLEBOARD;CONFIG_CC;CONFIG_GSTABS;CONFIG_PF_MALTA_MP;CONFIG_JDB_LOGGING;CONFIG_CAN_ARM_CPU_MPCORE;CONFIG_SCHED_FIXED_PRIO;CONFIG_SCHED_FP_WFQ;CONFIG_JDB_MISC;CONFIG_PF_TEGRA_TIMER_MP;CONFIG_PF_TEGRA_TIMER_TMR;CONFIG_ARM_V7PLUS;CONFIG_CAN_ARM_CPU_SA1100;CONFIG_ARM_CACHE_L2CXX0;CONFIG_LEON3;CONFIG_BIG_ENDIAN;CONFIG_UX_NET;CONFIG_NO_IO_PAGEFAULT;CONFIG_LAZY_FPU;CONFIG_CPU_LOCAL_MAP;CONFIG_CAN_ARM_CPU_CORTEX_A35;CONFIG_CPU_MIPS32;CONFIG_PF_EXYNOS_PKG_IDS;CONFIG_HOST_CC;CONFIG_PF_EXYNOS_UART_NR;CONFIG_PF_RPI_RPI3;CONFIG_WARN_WARNING;CONFIG_HAVE_ARM_SECMONIF_NONE;CONFIG_IOMMU;CONFIG_ARM_CPU_ERRATA;CONFIG_KERNEL_NX;CONFIG_JDB_DISASM;CONFIG_FORCE_ARM_PSCI_SMC;CONFIG_CPU_MIPSR2;CONFIG_IRQ_SPINNER;CONFIG_SYNC_TSC;CONFIG_CAN_ARM_CPU_920T;CONFIG_ABI_VF;CONFIG_SERIAL;CONFIG_LABEL;CONFIG_WORKAROUND_AMD_FPU_LEAK;CONFIG_CAN_ARM_CPU_XSCALE;CONFIG_SLOW_RTC;CONFIG_JDB_ACCOUNTING;CONFIG_POWERSAVE_GETCHAR;CONFIG_UX_CON;CONFIG_NO_FRAME_PTR;CONFIG_STACK_DEPTH;CONFIG_NDEBUG;CONFIG_INLINE;CONFIG_MAINTAINER_MODE;CONFIG_FINE_GRAINED_CPUTIME
201;-;-;-;+;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;+;-;+;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;+;-;+;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;+;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;+;-;-;-;+;-;-;-;-;-;-;-;+;-;-;+;-;-;+;-;-;+;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;+;-;+;-;-;-;-;-;+;+;+;-;-;-;-;-;-;+;-;+;+;+;+
202;-;-;-;+;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;+;-;+;+;-;+;+;-;-;-;+;+;-;-;-;-;-;+;-;-;-;-;-;+;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;+;+;-;-;-;-;-;-;-;-;-;-;-;+;-;+;-;+;-;-;-;+;-;-;-;-;-;-;-;-;+;-;+;-;-;+;-;+;-;-;-;-;+;-;+;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;+;-;+;-;-;-;-;-;+;+;+;-;-;-;+;-;-;-;-;+;+;-;+
203;-;-;-;+;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;+;+;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;+;-;-;-;-;+;+;+;-;-;+;-;-;-;-;-;-;-;-;-;-;+;-;+;-;-;-;+;-;-;-;-;+;-;-;-;-;-;+;-;-;+;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;+;-;-;+;-;-;-;-;+;-;-;-;-;-;+;+;+;-;-;-;+;-;-;+;-;+;+;+;-
204;-;-;-;+;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;+;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;+;-;-;-;-;-;+;+;-;-;+;-;-;-;-;-;-;-;-;-;-;+;-;+;-;-;-;+;-;-;-;-;+;-;-;-;+;-;+;-;-;+;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;+;-;+;-;-;-;-;-;+;+;+;-;-;-;+;-;-;+;+;+;+;-;-
205;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;+;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;+;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;+;-;-;-;-;-;-;-;+;-;-;+;-;-;+;-;-;+;-;-;-;-;-;-;-;-;+;+;+;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;+;-;-;-;+;-;+;+;-;+;-;+;-
206;-;-;-;+;+;+;-;-;+;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;+;-;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;+;-;+;+;-;+;+;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;+;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;+;+;-;-;-;-;-;-;-;-;-;-;-;+;-;+;-;+;-;-;-;+;+;-;-;-;-;-;-;-;-;-;+;-;-;+;-;+;-;-;-;-;+;-;-;-;-;-;-;+;-;-;-;-;+;-;-;+;-;-;+;-;+;-;-;-;-;-;+;+;+;-;-;-;-;-;-;-;-;+;-;+;-
207;-;-;-;-;+;-;+;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;+;+;+;-;-;-;-;+;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;+;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;+;-;-;-;-;-;-;-;+;-;+;-;+;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;+;+;-;-;-;-;-;-;+;-;-;+;-;-;+;-;+;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;+;-;+;+;-;-;+;+;-;+;-;+;+;-;-;-;-;-;+;+;+;+;+;+
208;-;-;-;+;+;+;-;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;+;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;+;+;-;-;-;+;-;-;-;-;-;-;+;-;-;-;-;-;+;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;+;+;-;+;-;+;-;-;-;+;-;+;-;-;+;-;-;-;-;-;+;-;-;-;-;-;+;-;-;-;+;-;-;-;-;-;-;+;-;-;-;-;+;-;-;+;-;-;-;-;-;-;-;-;-;-;+;+;+;-;-;-;-;-;-;+;-;-;-;+;-
209;-;-;-;+;-;+;-;-;+;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;+;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;+;-;-;-;-;-;-;+;-;-;-;-;-;+;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;+;+;-;-;+;-;-;-;-;-;-;-;+;+;-;+;-;+;-;-;-;+;+;+;-;-;+;-;-;-;+;-;+;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;+;-;-;-;-;-;-;-;+;-;+;-;-;-;-;-;-;-;+;+;+;+;+
210;-;-;-;+;-;+;-;+;-;-;-;-;-;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;+;-;+;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;+;-;-;-;-;-;+;+;-;-;-;+;-;-;-;-;+;+;-;-;-;+;-;-;-;-;-;-;+;-;-;-;-;-;+;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;+;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;+;-;-;-;+;-;-;-;+;+;-;-;+;-;-;+;-;-;-;-;-;+;-;-;-;+;-;-;-;-;-;-;-;-;-;-;+;+;+;-;-;+;-;-;-;-;-;-;-;-;-;+;+;+;-;-;-;-;-;-;-;-;-;-;+;+
211;-;-;-;+;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;+;-;+;-;-;+;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;+;-;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;+;-;-;-;-;+;-;-;-;+;-;+;-;-;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;+;-;+;-;-;-;-;-;+;+;+;-;-;-;-;-;-;-;-;-;+;+;-
212;-;-;+;-;+;+;-;-;-;-;-;-;-;-;-;-;+;-;+;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;+;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;+;+;-;+;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;+;-;-;-;-;-;-;-;-;+;-;+;-;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;+;-;-;+;-;+;-;-;-;-;-;-;-;+;-;+;-;-;-;+;+;+;-;-;-;-;-;-;+;-;+;+;-;-
213;-;-;+;+;+;+;-;+;-;-;+;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;+;-;-;-;-;+;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;+;-;-;-;-;+;-;-;-;-;-;-;+;-;-;-;-;-;-;+;-;-;+;-;-;-;-;-;-;-;+;-;-;-;-;+;-;-;-;-;-;-;-;-;+;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;+;-;-;-;+;-;-;-;-;+;-;-;+;-;-;+;-;-;+;-;-;+;-;-;-;+;-;-;-;-;-;-;+;-;-;-;-;+;-;-;-;-;-;-;-;+;-;-;-;-;-;+;+;+;-;-;-;-;-;-;-;-;+;+;+;+
214;-;-;-;+;+;+;-;-;+;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;+;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;+;-;+;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;+;+;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;+;+;+;-;-;-;-;-;-;-;-;-;-;-;+;-;+;-;+;-;-;-;+;+;-;-;-;+;-;-;-;-;-;+;-;-;-;-;-;+;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;+;-;-;+;-;-;+;-;+;-;-;-;-;-;+;-;+;-;-;-;+;-;-;-;-;+;-;-;-
215;-;-;+;-;-;+;-;-;+;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;+;+;+;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;+;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;+;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;+;+;-;-;-;-;-;+;+;-;-;+;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;+;-;-;-;-;-;-;-;+;-;-;-;-;-;+;-;+;-;-;-;+;-;-;-;-;-;-;-;-
216;-;-;-;+;-;+;-;-;+;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;+;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;+;-;+;+;-;+;+;-;-;-;+;-;-;-;+;-;-;+;-;-;+;-;-;+;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;+;+;+;-;-;-;-;-;-;-;-;-;-;-;+;-;+;-;+;-;-;-;+;+;-;-;-;-;-;-;-;-;-;+;-;-;+;-;-;+;-;-;-;+;-;+;-;-;-;-;-;-;-;-;-;+;-;-;+;-;-;+;-;+;-;-;-;-;-;+;+;+;-;-;-;+;-;-;-;-;-;-;-;-
217;-;-;-;+;-;+;+;+;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;+;-;-;+;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;+;-;-;-;-;-;+;-;-;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;+;-;-;-;-;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;+;+;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;+;+;+;-;-;+;-;-;-;-;+;-;-;+;+;-;-;-;+;-;-;-;+;-;+;-;-;-;-;-;+;-;-;+;-;-;+;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;+;-;+;-;-;-;-;-;+;+;+;-;-;-;+;-;-;+;-;-;-;+;-
