Configuration;CONFIG_SHA256SUM;CONFIG_TOYBOX_LIBCRYPTO;CONFIG_UPTIME;CONFIG_TOYBOX_UTMPX;CONFIG_TOYBOX;CONFIG_TOYBOX_PRLIMIT;CONFIG_TOYBOX_CONTAINER;CONFIG_LSPCI_TEXT;CONFIG_LSPCI;CONFIG_CHCON;CONFIG_TOYBOX_SELINUX;CONFIG_KILLALL5;CONFIG_KILL;CONFIG_RESTORECON;CONFIG_MKE2FS_LABEL;CONFIG_MKE2FS;CONFIG_UNSHARE;CONFIG_SHIFT;CONFIG_EXEC;CONFIG_RUNCON;CONFIG_SHA224SUM;CONFIG_ICONV;CONFIG_TOYBOX_ICONV;CONFIG_NETCAT_LISTEN;CONFIG_NETCAT;CONFIG_LOGIN;CONFIG_TOYBOX_SHADOW;CONFIG_TOYBOX_ON_ANDROID;CONFIG_MKPASSWD;CONFIG_ID_Z;CONFIG_ID;CONFIG_TOYBOX_FORK;CONFIG_TOYBOX_FORCE_NOMMU;CONFIG_TOYBOX_LSM_NONE;CONFIG_UNSET;CONFIG_SOURCE;CONFIG_NBD_CLIENT;CONFIG_TIME;CONFIG_TOYBOX_FLOAT;CONFIG_OPENVT;CONFIG_SORT_FLOAT;CONFIG_MKNOD_Z;CONFIG_SEQ;CONFIG_TOYBOX_SMACK;CONFIG_MKE2FS_JOURNAL;CONFIG_SHA512SUM;CONFIG_HELP;CONFIG_TOYBOX_HELP;CONFIG_FSFREEZE;CONFIG_TOYBOX_FIFREEZE;CONFIG_PASSWD;CONFIG_LOG;CONFIG_EXIT;CONFIG_TOYBOX_UID_USR;CONFIG_CRONTAB;CONFIG_DEBUG_DHCP;CONFIG_DHCPD;CONFIG_MKNOD;CONFIG_JOBS;CONFIG_CAT_V;CONFIG_CAT;CONFIG_TOYBOX_HELP_DASHDASH;CONFIG_GREP;CONFIG_FGREP;CONFIG_TCPSVD;CONFIG_TOYBOX_UID_SYS;CONFIG_ULIMIT;CONFIG_SETENFORCE;CONFIG_EGREP;CONFIG_MKDIR_Z;CONFIG_TOYBOX_COPYFILERANGE;CONFIG_TOYBOX_ANDROID_SCHEDPOLICY;CONFIG_MKE2FS_GEN;CONFIG_CD;CONFIG_EXPORT;CONFIG_SENDEVENT;CONFIG_PASSWD_SAD;CONFIG_MKFIFO_Z;CONFIG_SU;CONFIG_SHA384SUM;CONFIG_MKFIFO;CONFIG_WHO;CONFIG_W;CONFIG_MKDIR;CONFIG_NSENTER;CONFIG_SULOGIN;CONFIG_EVAL;CONFIG_KLOGD_SOURCE_RING_BUFFER;CONFIG_KLOGD;CONFIG_BOOTCHARTD;CONFIG_TOYBOX_GETRANDOM;CONFIG_MDEV_CONF;CONFIG_MDEV;CONFIG_MKE2FS_EXTENDED;CONFIG_GETENFORCE;CONFIG_LOAD_POLICY;CONFIG_TOYBOX_NORECURSE;CONFIG_LOGGER;CONFIG_WHICH;CONFIG_DHCP6;CONFIG_CRC32;CONFIG_LSATTR;CONFIG_UUDECODE;CONFIG_USERADD;CONFIG_IONICE;CONFIG_SWITCH_ROOT;CONFIG_WATCH;CONFIG_FACTOR;CONFIG_IFCONFIG;CONFIG_READELF;CONFIG_GROUPS;CONFIG_UUIDGEN;CONFIG_CATV;CONFIG_MODINFO;CONFIG_MCOOKIE;CONFIG_IPCS;CONFIG_FREERAMDISK;CONFIG_UNIX2DOS;CONFIG_ASCII;CONFIG_LSUSB;CONFIG_PS;CONFIG_SYNC;CONFIG_GZIP;CONFIG_CHRT;CONFIG_FTPGET;CONFIG_RMMOD;CONFIG_TAIL;CONFIG_ARCH;CONFIG_MORE;CONFIG_I2CDETECT;CONFIG_CMP;CONFIG_GUNZIP;CONFIG_UNAME;CONFIG_TAC;CONFIG_I2CGET;CONFIG_MV;CONFIG_PATCH;CONFIG_PKILL;CONFIG_DOS2UNIX;CONFIG_ACPI;CONFIG_MKTEMP;CONFIG_READLINK;CONFIG_DF;CONFIG_BC;CONFIG_BZCAT;CONFIG_DIFF;CONFIG_TRUNCATE;CONFIG_YES;CONFIG_DEMO_SCANKEY;CONFIG_ARP;CONFIG_HOST;CONFIG_FOLD;CONFIG_SHA1SUM;CONFIG_DEMO_UTF8TOWC;CONFIG_USLEEP;CONFIG_NICE;CONFIG_RFKILL;CONFIG_GETFATTR;CONFIG_VCONFIG;CONFIG_SETFATTR;CONFIG_TRACEROUTE;CONFIG_TEE;CONFIG_TEST;CONFIG_TOYBOX_SUID;CONFIG_TFTP;CONFIG_FDISK;CONFIG_BUNZIP2;CONFIG_MOUNT;CONFIG_HOSTID;CONFIG_EXPR;CONFIG_BLKDISCARD;CONFIG_CP;CONFIG_MICROCOM;CONFIG_PARTPROBE;CONFIG_SPLIT;CONFIG_SED;CONFIG_RESET;CONFIG_WGET;CONFIG_NOHUP;CONFIG_IP;CONFIG_HEAD;CONFIG_UMOUNT;CONFIG_DIRNAME;CONFIG_CLEAR;CONFIG_PASTE;CONFIG_TIMEOUT;CONFIG_VI;CONFIG_STRINGS;CONFIG_CKSUM;CONFIG_I2CSET;CONFIG_SETSID;CONFIG_GROUPADD;CONFIG_ENV;CONFIG_STAT;CONFIG_TELNET;CONFIG_LS;CONFIG_PRINTF;CONFIG_LOGNAME;CONFIG_BLKID;CONFIG_PGREP;CONFIG_MAN;CONFIG_PWDX;CONFIG_SHRED;CONFIG_CAL;CONFIG_INOTIFYD;CONFIG_WATCHDOG;CONFIG_TASKSET;CONFIG_BRCTL;CONFIG_LAST;CONFIG_WC;CONFIG_GETOPT;CONFIG_TOYBOX_FREE;CONFIG_SWAPON;CONFIG_CHMOD;CONFIG_TFTPD;CONFIG_REALPATH;CONFIG_UNIQ;CONFIG_SNTP;CONFIG_HWCLOCK;CONFIG_DMESG;CONFIG_GETCONF;CONFIG_MOUNTPOINT;CONFIG_KILLALL;CONFIG_SLEEP;CONFIG_INSTALL;CONFIG_PWGEN;CONFIG_BASE64;CONFIG_FALLOCATE;CONFIG_INSMOD;CONFIG_MKSWAP;CONFIG_RENICE;CONFIG_CHATTR;CONFIG_NETSTAT;CONFIG_OD;CONFIG_FMT;CONFIG_TOYBOX_DEBUG;CONFIG_RTCWAKE;CONFIG_TTY;CONFIG_DU;CONFIG_CROND;CONFIG_PWD;CONFIG_DEVMEM;CONFIG_COMM;CONFIG_ONEIT;CONFIG_UNLINK;CONFIG_HEXEDIT;CONFIG_CHVT;CONFIG_FLOCK;CONFIG_XARGS;CONFIG_FSTYPE;CONFIG_LSMOD;CONFIG_SHA3SUM;CONFIG_MIX;CONFIG_INIT;CONFIG_DEALLOCVT;CONFIG_BASENAME;CONFIG_RM;CONFIG_LN;CONFIG_DEMO_MANY_OPTIONS;CONFIG_FIND;CONFIG_MODPROBE;CONFIG_CUT;CONFIG_XXD;CONFIG_XZCAT;CONFIG_HELLO;CONFIG_COUNT;CONFIG_MD5SUM;CONFIG_FALSE;CONFIG_TAR;CONFIG_MAKEDEVS;CONFIG_PRINTENV;CONFIG_PING;CONFIG_IOTOP;CONFIG_FSYNC;CONFIG_DNSDOMAINNAME;CONFIG_ECHO;CONFIG_TELNETD;CONFIG_TRUE;CONFIG_CPIO;CONFIG_FSCK;CONFIG_CHGRP;CONFIG_TR;CONFIG_DHCP;CONFIG_GROUPDEL;CONFIG_EXPAND;CONFIG_SWAPOFF;CONFIG_DD;CONFIG_RMDIR;CONFIG_I2CDUMP;CONFIG_BLOCKDEV;CONFIG_UUENCODE;CONFIG_TUNCTL;CONFIG_TOYBOX_PEDANTIC_ARGS;CONFIG_IORENICE;CONFIG_LOGWRAPPER;CONFIG_PIDOF;CONFIG_CHOWN;CONFIG_CHROOT;CONFIG_VMSTAT;CONFIG_SKELETON_ALIAS;CONFIG_NL;CONFIG_PIVOT_ROOT;CONFIG_ZCAT;CONFIG_PMAP;CONFIG_DUMPLEASES;CONFIG_HOSTNAME;CONFIG_SYSCTL;CONFIG_NPROC;CONFIG_ROUTE;CONFIG_LSOF;CONFIG_USERDEL;CONFIG_LOSETUP;CONFIG_TOYBOX_LIBZ;CONFIG_REV;CONFIG_SH;CONFIG_IPCRM;CONFIG_LINK;CONFIG_DATE;CONFIG_WHOAMI;CONFIG_GETTY;CONFIG_FTPPUT;CONFIG_TOP;CONFIG_EJECT;CONFIG_FILE;CONFIG_DEMO_NUMBER;CONFIG_SORT;CONFIG_SKELETON;CONFIG_TOUCH;CONFIG_REBOOT;CONFIG_STTY;CONFIG_READAHEAD;CONFIG_SYSLOGD;CONFIG_FREE;CONFIG_ARPING
10;-;-;+;+;+;+;+;+;+;-;-;+;+;-;+;+;+;-;-;-;-;+;+;-;+;-;+;-;+;-;-;+;-;-;-;-;-;-;-;+;-;+;-;+;+;-;-;-;-;+;+;-;-;+;+;-;-;+;-;+;+;-;-;-;+;+;+;-;-;+;-;-;+;-;-;-;+;+;-;-;+;-;+;+;-;+;-;-;-;-;+;-;+;+;-;-;-;+;-;-;+;+;-;+;+;+;-;+;-;-;+;-;+;+;+;+;+;-;-;+;-;+;+;+;+;+;+;-;-;+;+;-;+;+;+;+;+;-;-;-;+;+;-;+;-;+;-;+;+;+;-;+;+;-;+;-;-;-;-;+;+;+;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;+;+;+;-;+;+;+;+;+;-;-;+;+;+;-;-;-;-;-;-;-;-;-;+;-;-;-;-;+;-;+;-;-;-;+;-;+;+;-;-;+;-;+;-;+;-;+;+;-;+;+;-;+;-;-;+;-;-;+;+;+;-;+;-;-;-;+;-;+;+;-;-;-;+;+;-;+;+;-;+;-;+;+;-;-;-;+;-;-;+;+;-;-;-;-;+;+;+;-;-;+;+;+;-;+;-;+;+;-;-;+;+;+;-;+;-;-;-;-;-;-;-;-;-;-;-;+;-;+;+;+;-;-;+;-;+;+;-;+;+;-;+;+;-;+;+;-;+;+
11;-;-;+;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;-;+;-;+;+;+;+;-;-;-;-;+;+;+;-;+;-;+;+;-;-;+;+;+;+;-;-;-;+;-;-;-;-;-;-;-;+;+;+;+;+;+;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;+;-;+;+;+;+;-;-;-;-;-;-;-;+;+;+;+;-;-;+;+;-;+;+;+;+;-;-;-;-;+;-;+;+;+;+;+;-;-;-;-;-;-;-;-;+;+;-;-;-;+;+;+;+;-;+;-;-;+;-;-;-;-;-;+;+;-;-;+;+;+;+;-;-;+;+;+;+;+;+;+;-;+;-;+;-;-;+;-;+;-;-;-;-;+;-;+;+;-;-;+;-;+;+;+;+;+;+;+;+;+;-;-;-;-;+;+;+;-;+;-;-;-;-;-;+;-;-;-;+;-;-;+;+;-;-;-;-;+;+;-;-;+;+;-;-;-;+;+;-;-;+;-;+;-;+;-;+;-;+;+;-;-;-;+;-;-;-;-;+;-;-;+;+;-;+;+;-;-;+;+;-;-;+;-;+;+;+;-;-;+;-;-;+;+;+;-;+;-;-;+;-;+;+;-;-;+;+;+;+;-;+;+;+;-;+;-;+;-;+;+;+;+;-;+;+;+;+;+;-;+;-;+;-;-;-;-;-;+;+;+;+;-;+;+;+;+;+;+
12;-;+;-;+;+;+;+;+;+;-;-;+;+;-;-;-;+;-;-;-;-;+;+;+;+;+;+;-;+;-;-;-;+;-;-;-;-;-;+;-;+;-;+;+;-;+;-;-;-;+;-;-;-;+;-;+;+;-;-;+;+;-;+;+;-;+;+;-;+;-;-;-;-;-;-;-;-;-;+;-;-;+;+;-;+;-;-;+;+;-;+;+;+;-;-;-;-;+;+;-;-;+;+;+;-;-;+;-;+;-;+;+;+;-;-;-;+;-;-;-;-;+;+;+;+;-;-;-;-;+;+;-;-;+;-;+;+;-;-;+;-;+;+;-;-;-;+;+;-;-;+;-;+;-;-;+;-;-;+;-;+;+;-;+;-;-;+;-;+;+;+;-;+;+;-;-;-;-;+;-;+;-;+;+;-;-;-;+;+;-;-;-;-;-;+;+;-;+;-;+;+;+;-;+;+;+;-;+;-;+;-;+;-;+;-;+;+;+;-;+;+;+;+;-;+;-;-;+;-;-;-;+;+;+;-;-;-;+;+;+;+;-;-;+;-;-;+;-;+;+;+;-;-;+;-;+;-;+;+;+;-;-;-;-;+;-;+;+;+;+;-;-;+;+;-;+;+;-;+;-;+;+;+;+;-;+;-;+;+;-;-;+;+;+;+;-;+;+;-;-;-;-;-;+;-;+;-;+;-;-;+;-;-;-;-;-;+;-;+;-;+;+;-;-;-;+;+;+;+;+;+;+;+;+
13;-;+;-;+;+;+;+;+;+;+;+;-;-;+;-;-;-;-;-;+;-;-;+;+;+;-;+;-;-;-;-;-;+;-;-;-;-;+;+;-;+;+;+;-;-;+;-;+;+;+;+;-;-;+;-;-;-;+;-;+;+;+;+;+;-;+;+;-;+;+;-;-;-;-;-;-;+;-;-;-;-;+;+;+;+;+;-;-;-;-;+;-;-;-;-;-;+;-;-;-;-;+;+;-;-;-;+;+;-;+;-;-;-;-;+;+;-;+;-;-;-;-;+;+;+;+;+;+;-;+;+;+;+;-;+;+;+;+;-;-;+;+;+;+;-;-;+;-;-;-;-;-;-;+;+;-;-;-;-;-;-;+;+;-;-;-;+;+;+;-;-;-;-;-;+;-;+;+;-;+;+;-;-;+;+;-;+;+;-;-;+;+;-;+;+;-;-;-;-;-;+;+;-;-;-;+;-;+;+;-;+;+;-;+;+;+;-;+;-;-;+;+;-;+;+;+;-;-;+;+;-;+;-;-;-;-;-;-;+;-;-;+;+;+;-;-;-;-;+;+;-;-;-;+;-;+;+;+;-;-;-;-;+;-;+;-;-;-;-;+;+;+;-;+;-;-;+;-;-;-;+;+;-;+;+;-;+;+;-;+;+;-;+;+;-;-;+;-;+;+;-;-;-;-;+;-;+;+;+;+;-;-;+;+;-;+;-;+;+;-;-;-;-;+;+;-;-;+;+;-;+;-;-;-
14;-;+;-;+;+;+;+;+;+;+;+;-;+;+;-;-;-;-;-;-;+;+;+;+;+;-;+;-;-;-;-;+;-;-;-;-;+;-;-;+;-;+;-;-;-;+;+;+;-;+;+;-;-;+;+;+;+;+;-;-;+;+;+;+;-;+;+;-;+;-;-;-;-;-;-;-;+;+;+;+;+;+;-;-;+;-;-;-;-;-;+;+;+;-;-;+;+;+;-;+;+;+;-;+;-;+;-;+;-;-;-;-;-;-;+;+;+;+;-;-;+;-;-;-;+;-;-;-;+;+;+;+;-;-;-;-;-;-;+;-;-;+;+;-;+;+;+;-;-;+;-;-;+;+;+;+;+;-;-;+;-;-;-;+;+;+;+;+;+;-;-;+;+;-;+;+;-;+;-;-;+;-;-;+;+;+;-;+;-;-;-;+;-;+;-;+;-;+;-;+;+;+;+;+;+;+;-;+;-;-;+;+;-;+;-;+;-;-;-;-;-;+;-;+;-;+;-;-;+;-;-;-;-;-;+;-;+;-;+;+;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;+;-;+;+;-;-;+;-;-;+;-;-;+;-;-;-;+;-;-;+;-;+;+;-;+;-;-;+;+;+;-;-;+;-;+;+;+;+;+;+;-;-;+;+;+;-;-;-;+;+;-;+;-;+;+;-;-;+;+;-;+;+;+;+;-;+;+;-;+;-;-;+;-;+;-;+;-;-;-
15;+;+;+;+;+;+;+;+;+;-;+;-;-;+;+;+;-;-;-;+;+;-;+;-;-;+;+;-;+;-;-;-;+;-;-;-;-;-;+;-;+;-;+;-;+;+;-;-;-;+;+;-;-;+;-;-;-;-;-;+;+;-;+;+;-;+;-;+;+;+;-;-;-;-;-;-;+;+;+;+;+;+;+;+;-;+;-;-;-;-;+;-;-;+;+;+;+;+;+;-;+;+;+;-;-;-;-;+;-;+;+;-;-;+;-;+;+;+;+;+;-;+;-;-;-;+;+;-;+;+;+;-;-;+;+;+;-;+;+;-;+;+;-;-;+;-;+;+;+;+;+;+;+;+;+;+;-;+;+;+;-;-;+;-;+;+;+;-;-;+;+;-;+;-;-;-;-;-;+;+;-;+;-;-;+;-;+;+;+;+;-;-;+;+;+;+;+;-;+;-;+;+;-;+;-;+;-;+;-;+;+;-;-;+;+;-;+;+;-;+;+;-;+;-;+;+;-;+;-;+;+;-;-;+;+;+;+;-;+;-;+;-;+;+;+;+;-;+;-;+;+;-;-;-;+;-;+;-;+;-;-;+;+;+;-;+;+;+;-;+;+;-;+;-;+;+;-;-;+;+;-;+;+;+;+;+;+;-;+;+;+;-;-;+;+;+;-;+;+;-;+;+;-;-;+;+;+;+;-;-;-;-;-;-;-;-;+;-;+;-;-;+;+;+;-;+;-;+;-;-;-;-;+;+
16;-;+;-;+;+;+;+;-;-;+;+;+;+;+;-;-;+;-;-;+;-;-;+;+;+;-;+;-;-;+;+;+;-;-;-;-;+;-;-;+;-;+;-;-;-;-;+;+;+;+;-;-;-;+;+;-;-;+;-;-;-;-;-;-;-;+;+;-;-;+;-;-;-;-;-;-;-;-;-;+;-;+;+;+;-;+;-;-;-;+;+;-;+;-;-;+;+;-;-;-;-;+;+;+;+;-;+;+;+;-;-;+;-;+;+;+;-;+;+;-;+;+;-;+;-;+;-;+;+;+;+;+;-;+;+;+;+;-;-;-;-;-;+;-;-;+;+;-;+;+;-;-;+;-;+;+;+;-;-;+;-;-;+;+;-;+;+;+;-;-;-;-;+;-;+;+;-;-;-;-;+;+;-;+;+;+;-;+;-;-;+;-;-;-;-;-;-;-;-;+;+;+;-;+;-;+;+;+;+;-;+;+;-;+;+;+;-;-;-;+;-;+;-;+;+;-;+;+;+;+;-;+;-;-;-;-;-;-;+;+;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;+;+;+;-;+;-;-;+;-;-;-;+;+;+;+;-;+;-;-;+;-;+;+;-;+;+;-;+;+;+;-;-;+;-;-;+;-;+;+;-;-;-;+;+;+;-;-;-;+;-;-;+;-;+;+;-;+;+;+;+;+;-;-;-;-;-;-;-;+;-;-;-;+;+;-;+;-;-;-
17;+;+;-;+;+;+;+;-;-;+;+;+;+;-;-;-;-;-;-;+;-;-;+;+;+;-;+;-;-;-;-;-;+;-;-;-;-;+;+;-;+;+;-;-;-;+;+;+;+;+;-;-;-;+;-;-;-;+;-;+;+;-;-;-;-;+;+;-;-;+;-;-;-;-;-;-;-;+;-;+;+;+;-;+;-;+;-;-;-;-;+;+;+;-;-;-;+;-;-;-;-;-;-;-;-;+;-;+;-;+;-;-;-;+;-;+;-;+;-;-;-;+;-;-;-;-;+;+;-;+;-;+;+;+;-;+;-;-;-;+;-;-;+;-;-;+;+;-;+;-;-;-;+;-;+;+;+;+;-;+;-;+;+;-;-;-;-;+;+;-;-;+;-;-;+;+;+;+;-;-;-;-;-;+;+;+;-;-;-;-;-;+;+;+;+;-;-;-;-;+;+;+;+;+;-;-;+;+;+;+;+;-;-;+;-;+;-;-;-;+;-;-;-;-;-;-;-;-;+;+;-;+;-;-;+;-;+;-;+;-;-;+;+;+;-;+;-;-;-;-;-;-;+;-;-;+;-;-;+;+;-;-;+;-;-;-;+;+;-;-;+;+;-;+;+;-;+;-;-;+;+;+;+;+;+;+;+;+;+;-;-;-;+;+;-;-;-;-;+;+;-;-;-;-;+;-;+;-;+;+;-;+;-;+;-;+;+;-;-;-;-;+;-;+;-;-;-;+;+;-;-;-;-;-
18;-;+;+;+;+;+;+;+;+;-;-;-;+;-;-;-;-;-;-;-;-;-;+;-;-;-;+;-;-;-;-;+;-;+;-;-;+;+;+;+;+;-;+;-;-;+;+;+;-;+;-;-;-;+;+;-;-;+;-;-;+;-;+;+;-;+;+;-;+;-;-;-;-;-;-;-;-;-;-;-;+;+;-;+;-;-;-;-;-;+;+;+;+;-;-;-;+;-;-;-;-;-;+;+;-;-;+;+;-;-;-;-;-;+;-;-;-;+;-;-;+;-;+;+;-;-;-;+;+;+;+;+;-;-;-;-;+;-;+;-;+;-;+;-;+;+;+;-;+;+;-;-;-;-;+;-;+;-;-;+;-;+;+;-;+;-;+;+;-;-;-;+;+;-;+;+;+;-;-;-;-;-;-;+;+;-;-;+;-;-;+;+;-;+;-;+;-;-;-;+;+;+;-;+;-;+;+;+;+;-;+;-;+;+;-;+;-;-;-;+;-;-;+;+;+;-;-;-;+;+;-;-;-;+;+;-;+;-;+;+;-;+;+;-;-;-;-;-;-;-;-;-;+;+;-;+;+;+;+;-;-;-;+;-;+;-;+;-;+;+;+;+;-;+;-;-;+;-;-;-;+;+;-;+;+;-;+;+;+;-;-;-;+;+;-;-;-;-;+;+;-;-;-;+;+;-;+;+;+;+;-;+;-;+;+;-;+;-;-;+;+;+;-;+;+;-;+;-;-;-;-;-;-;-
19;+;+;-;+;+;+;+;+;+;+;+;-;+;+;-;-;-;-;-;-;-;+;+;-;-;-;+;-;-;-;-;+;-;-;-;-;+;-;+;+;+;+;+;-;-;+;-;-;+;+;-;-;-;+;-;-;-;+;-;-;+;-;-;-;-;+;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-;+;-;+;-;-;-;-;-;+;+;+;+;-;+;-;+;+;-;-;-;-;+;-;-;+;-;+;-;+;-;-;-;-;-;+;-;+;-;+;-;-;-;+;-;+;-;+;+;+;-;+;-;-;+;+;-;+;+;+;-;+;+;-;+;+;+;-;-;+;-;+;+;+;+;+;+;-;+;+;-;-;+;-;+;+;-;+;+;-;-;+;-;+;+;+;-;+;-;-;-;-;-;+;+;+;+;-;-;-;-;+;+;+;-;-;-;-;-;+;-;+;-;+;-;+;+;+;+;-;+;+;-;+;-;+;-;-;+;+;-;-;-;-;-;-;-;-;+;+;-;-;-;+;-;+;-;-;+;+;-;+;+;+;-;-;-;-;+;-;-;-;-;-;-;+;+;-;+;+;-;-;-;-;+;-;-;+;+;-;+;+;-;-;+;-;+;+;+;+;+;-;-;-;+;-;-;+;-;-;+;-;+;+;-;-;-;-;+;+;-;+;-;+;+;-;+;-;+;+;-;-;-;-;-;+;-;-;-;-;+;-;-;-;+;+;-;-;+;-;-;-;-;-
20;+;+;-;+;+;+;+;-;-;+;+;+;+;-;-;-;-;-;-;+;-;-;+;+;+;-;+;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;+;-;+;-;+;+;-;-;+;-;-;-;+;-;-;-;+;+;+;-;+;+;-;+;-;-;-;-;-;-;-;+;-;+;+;-;+;-;-;-;+;-;-;-;-;+;+;+;-;+;+;-;+;+;-;-;-;+;+;-;+;+;+;-;+;-;+;-;-;-;+;-;+;+;+;-;+;+;-;+;-;-;+;-;+;+;+;-;+;-;+;+;+;-;+;+;-;+;-;+;+;+;-;-;-;-;+;+;-;+;+;-;-;+;+;-;-;+;-;+;-;+;+;-;-;+;-;-;+;+;+;-;-;+;-;-;+;-;+;+;+;+;-;-;+;+;+;-;+;-;+;-;-;-;-;-;+;+;-;+;+;+;+;+;-;+;-;+;+;-;+;-;+;-;-;+;+;-;+;+;-;-;+;+;-;-;+;-;-;+;+;-;-;+;-;-;+;+;+;-;+;-;+;+;-;-;-;+;-;-;+;-;+;-;+;+;-;+;-;+;-;+;-;-;+;+;+;-;-;+;-;+;-;-;+;+;+;-;+;+;-;+;+;+;+;+;-;+;+;-;-;-;-;+;+;-;-;-;-;-;-;+;-;+;+;-;-;-;+;-;+;+;-;+;-;+;-;-;-;-;-;+;-;+;-;-;-;-;-
21;+;+;-;+;+;+;+;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;+;+;+;-;+;-;-;-;-;-;+;-;-;-;-;+;+;-;+;+;-;-;-;+;+;+;+;+;+;-;-;+;-;-;-;+;-;-;-;-;+;+;-;+;+;-;+;+;-;-;-;-;-;-;+;+;-;+;+;+;-;+;+;-;-;-;-;-;+;+;+;-;-;+;+;-;+;-;-;-;+;+;+;-;-;+;-;+;-;+;-;-;-;+;-;+;-;-;-;+;-;+;-;-;-;+;+;+;-;+;+;+;+;+;+;-;+;-;+;+;+;-;-;+;+;-;-;-;-;-;+;-;-;+;+;+;-;+;-;-;+;-;-;-;+;+;-;-;-;+;-;-;-;+;-;+;-;-;-;-;-;+;+;+;-;-;-;-;+;+;+;+;+;+;-;-;-;+;+;+;-;-;-;+;+;+;+;+;+;-;-;+;+;+;-;+;-;+;-;+;-;+;-;+;-;-;+;-;-;-;-;-;+;+;+;-;+;-;-;+;-;+;-;-;-;-;-;-;-;-;+;-;-;+;-;+;+;+;-;+;-;+;-;-;-;-;-;-;-;+;-;+;+;-;+;+;+;+;+;-;-;+;+;-;-;+;-;+;-;-;+;+;+;-;-;+;+;+;-;+;-;-;+;-;+;-;+;+;-;-;+;+;-;-;-;-;-;-;+;-;-;-;+;+;+;-;+;-;-;-;-;-
22;+;+;-;+;+;+;+;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;+;+;+;-;+;-;-;-;+;-;+;+;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;-;-;-;+;-;-;-;+;-;-;+;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;+;+;+;-;-;-;+;+;-;-;-;-;-;-;-;-;-;+;-;+;-;+;-;+;-;+;-;+;+;-;-;-;-;-;+;-;+;+;+;+;+;+;-;+;+;+;+;-;+;+;-;-;+;-;-;+;+;-;-;+;-;-;+;-;+;-;-;+;-;+;-;-;-;-;-;+;-;+;-;-;-;-;-;+;+;+;-;+;-;-;-;-;-;+;+;+;-;+;-;-;+;+;+;+;+;-;-;-;-;-;+;+;-;+;-;+;+;+;+;-;+;+;-;+;-;+;-;-;-;-;-;-;-;+;-;+;+;-;+;-;-;-;-;+;+;-;+;-;+;+;-;+;+;+;-;-;-;-;+;-;-;-;+;-;-;+;-;+;+;+;-;+;+;-;+;-;+;+;-;-;-;-;-;-;-;-;+;+;-;+;+;-;-;-;+;-;+;+;-;+;-;-;+;+;-;-;-;-;+;+;-;-;-;-;+;-;+;-;+;+;-;-;-;+;+;+;-;-;-;-;+;+;-;+;-;+;-;-;+;-;-;-;-;-
23;-;+;+;+;+;+;+;-;-;+;+;-;-;-;-;-;-;-;-;+;-;-;+;-;-;-;+;-;-;+;+;-;+;-;-;-;-;+;+;-;+;+;+;-;-;+;-;-;-;+;+;-;-;+;-;-;-;+;-;-;+;-;-;-;-;+;+;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;-;+;+;+;-;-;-;-;+;-;-;-;+;+;+;-;-;-;-;+;+;+;+;-;+;+;-;-;-;-;-;+;-;+;-;+;+;-;+;-;-;+;+;+;-;+;+;+;+;+;-;+;-;-;+;+;+;+;-;+;+;-;-;+;+;-;-;+;-;-;+;+;+;-;+;-;-;+;-;-;+;+;-;+;-;+;-;-;+;+;-;-;+;+;-;-;-;-;+;-;+;+;+;-;-;+;-;-;-;+;-;+;-;-;-;-;-;+;+;+;-;+;+;+;+;+;+;-;+;-;-;-;-;+;-;+;-;-;-;-;-;+;-;+;-;+;+;+;-;+;-;-;+;-;-;-;+;-;-;+;-;+;-;-;-;-;+;-;-;-;+;+;-;+;+;-;+;+;-;-;-;-;-;-;-;-;+;-;-;-;+;-;-;-;+;+;-;+;+;-;-;+;+;-;+;+;-;-;-;-;+;+;-;-;-;-;+;+;-;+;-;-;+;-;+;-;+;+;-;-;-;+;+;+;+;+;+;+;+;-;-;+;+;-;+;+;-;-;-;-;-;-
