Configuration;BerkeleyDb;BerkeleyDB;FLogging;Logging;featureLoggingFile;featureLoggingConsole;featureLoggingDbLog;featureLoggingFinest;featureLoggingFiner;featureLoggingFine;featureLoggingInfo;featureLoggingConfig;featureLoggingSevere;featureLoggingBase;FPersistency;Persistency;FPersistencyFeatures;featureChecksum;featureFileHandleCache;featureHandleFullDiscError;featureEnvironmentLock;Checkpointer;featureCustomizableCheckpointerTime;featureCustomizableCheckpointerBytes;featureCheckpointerDaemon;Cleaner;featureLookAheadCache;featureCleanerDaemon;FIOFeature;NIO;featureDirectNIO;FNIOType;featureNIO;featureChunkedNIO;IO;featureSynchronizedIO;featureIO;FStatistics;Statistics;FStatisticsFeatures;EnvStats;featureStatisticsEnvLog;featureStatisticsEnvINCompressor;featureStatisticsEnvFSync;featureStatisticsEnvEvictor;featureStatisticsEnvCleaner;featureStatisticsEnvCheckpointer;featureStatisticsEnvCaching;featureStatisticsEnvBase;featureStatisticsDatabase;featureStatisticsLock;featureStatisticsPreload;featureStatisticsSequence;featureStatisticsTransaction;featureStatisticsBase;featureMemoryBudget;FConcurrency;featureLatch;featureFSync;featureTransaction;dummyFeatureLocking;featureCheckLeaks;FDbOperation;featureDeleteDb;featureTruncateDb;FBtree;BTree;featureVerifier;featureTreeVisitor;featureINCompressor;FEvictor;Evictor;featureCriticalEviction;featureEvictorDaemon;featureEvictor;BASE
10;+;+;+;+;+;-;-;+;+;+;+;+;+;+;+;+;+;+;+;-;+;-;-;-;-;+;-;+;+;+;-;+;+;-;-;-;-;+;+;+;+;+;-;+;+;+;+;+;+;-;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+;+
11;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;-;+;+;+;+;-;+;+;-;+;-;-;-;-;-;+;+;+;+;+;+;+;-;-;+;-;+;+;+;+;-;+;+;+;-;+;+;+;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
12;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;-;-;-;-;-;-;-;-;+;+;+;+;-;+;-;-;-;+;+;+;-;-;-;-;-;-;-;-;-;-;-;+;+;-;+;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;-;-;-;-;-;+
13;+;+;+;+;+;-;+;+;+;+;+;-;-;+;+;+;+;+;+;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;+;+;+;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
14;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;+;+;+;+;+;+;+;+;-;-;+;+;-;+;+;+;+;+;-;-;+;+;+;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+;+
15;+;+;+;+;-;-;-;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;-;-;+;-;-;-;-;-;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;+;+;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;+;+
16;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;-;+;-;-;+;+;-;-;+;+;-;+;-;+;-;-;-;+;+;+;+;-;-;+;-;+;+;-;+;-;-;+;-;-;+;-;+;-;+;-;+;-;-;-;-;+;+;-;-;-;-;-;-;-;-;+
17;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;-;+;-;+;+;+;-;-;+;-;-;+;+;-;+;-;+;-;-;-;+;+;+;+;-;+;+;-;+;+;-;+;-;-;+;-;-;+;-;+;-;+;-;+;-;-;-;-;+;+;-;-;+;-;-;-;-;-;+
18;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;+;+;-;-;-;-;+;+;+;+;+;-;+;-;-;+;-;+;+;-;+;-;-;+;-;+;-;+;-;-;-;-;-;-;+;+;-;+;-;-;-;-;-;-;+
19;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;-;+;+;+;+;+;+;+;-;+;+;+;+;+;-;+;-;-;-;+;+;+;+;+;+;-;-;+;+;-;+;+;+;+;+;-;+;-;+;-;-;-;+;+;-;-;-;+;+;-;+;+;-;-;-;-;-;+
20;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;+;-;+;-;-;-;+;+;+;+;-;+;+;-;+;-;-;+;+;-;+;-;-;+;-;+;-;+;-;-;-;-;-;-;+;+;+;+;+;-;-;-;-;-;+
21;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;+;+;-;-;+;+;-;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;+;-;-;-;-;-;-;+;+;-;+;+;-;-;-;-;-;+
22;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;-;-;-;-;+;+;+;+;+;-;+;+;-;-;-;-;-;+;+;+;+;+;+;+;+;-;-;-;-;-;-;+;+;-;+;+;-;+;-;-;-;-;-;-;-;-;-;-;+;+;-;+;-;-;-;-;-;-;+
23;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;-;+;-;-;+;+;+;-;+;-;-;+;+;-;+;-;+;-;-;-;+;+;+;+;-;+;-;-;-;+;-;+;-;-;+;+;-;+;-;-;-;-;-;-;-;-;-;-;+;+;-;-;+;-;-;-;-;-;+
24;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;-;+;-;-;+;+;+;+;+;+;+;+;+;+;+;-;+;-;-;-;+;+;+;-;-;-;-;-;-;-;-;-;-;+;+;-;-;+;+;+;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+;+
25;+;+;+;+;+;-;+;+;-;+;-;+;+;+;+;+;+;-;+;+;+;+;+;-;+;+;+;+;+;+;+;+;-;+;-;-;-;+;+;+;+;-;-;+;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+;+
26;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;-;+;+;+;+;+;-;+;+;-;+;+;-;-;-;-;-;+;+;+;+;+;+;+;+;-;+;-;+;+;-;+;-;-;-;-;-;+;-;+;-;+;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;+
27;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;-;+;-;+;+;+;-;+;-;+;+;-;-;-;-;-;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;+;-;-;-;-;+;+;+;+;+;-;-;-;-;-;+
28;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;+;+;+;+;+;+;+;+;-;-;-;-;+;-;+;+;-;-;+;-;+;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;-;-;-;-;-;+
29;+;+;+;+;+;-;+;-;-;+;+;+;+;+;+;+;+;+;+;-;+;+;+;+;-;+;+;+;+;-;-;-;-;-;+;+;+;+;+;+;+;+;-;+;+;-;+;+;+;+;+;+;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+
30;+;+;+;+;+;-;+;+;+;-;-;+;+;+;+;+;+;+;+;+;+;-;-;-;-;+;+;-;+;+;+;+;+;-;-;-;-;+;+;+;+;+;-;+;-;-;-;+;+;-;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
31;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;-;-;-;-;-;-;-;-;-;+;+;+;+;+;-;-;-;-;+;+;+;+;+;-;+;+;-;-;+;+;-;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+
32;+;+;+;+;-;-;+;-;+;+;-;+;-;+;+;+;+;-;+;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;+;+;-;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+;+
33;+;+;+;+;-;-;+;+;+;+;+;+;-;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;+;+;+;+;-;+;-;-;-;+;+;+;+;-;+;+;+;+;+;+;+;-;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;+;+
34;+;+;+;+;-;-;+;-;-;-;+;-;+;+;+;+;+;+;+;+;+;-;-;-;-;-;-;-;+;-;-;-;-;-;+;+;+;+;+;+;+;-;+;+;-;-;+;-;+;-;+;-;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+;+
35;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;-;-;+;+;+;+;+;+;+;+;-;-;-;-;-;+;+;+;+;+;+;+;-;+;-;-;+;+;+;+;-;+;-;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
36;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;-;-;-;-;+;+;+;+;+;+;+;-;+;+;-;+;-;+;-;+;-;+;-;+;-;+;-;+;+;-;-;-;+;+;-;-;+;-;-;-;-;-;+
37;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;-;+;-;-;+;-;-;+;-;-;-;+;-;-;-;-;-;+;+;+;+;+;+;+;+;+;-;+;+;-;-;+;-;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+;+
38;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;+;+;-;-;+;+;-;+;+;+;+;+;+;-;-;-;-;+;+;+;+;-;+;-;-;-;+;-;+;-;-;+;-;-;+;-;-;-;-;-;-;-;-;-;-;+;+;-;-;+;-;-;-;-;-;+
39;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;-;+;+;-;+;+;-;+;+;-;-;+;+;-;+;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;+;-;-;-;-;-;-;+;+;-;+;-;-;-;-;-;-;+
40;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;+;-;+;-;-;-;-;+;+;+;+;+;-;-;-;-;-;+
41;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;-;+;-;+;-;-;-;-;+;-;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;-;-;-;-;-;+
42;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;-;+;+;+;-;-;-;-;+;+;+;+;+;-;+;-;+;-;-;-;+;+;+;+;+;+;+;+;-;-;+;+;-;+;-;-;-;+;+;+;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
43;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;-;-;+;+;+;+;+;+;+;-;+;+;+;-;+;+;-;-;-;-;+;+;+;+;-;-;+;-;+;+;-;+;-;-;+;-;-;+;-;+;-;+;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;+
44;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;-;+;+;+;-;-;-;-;+;+;-;+;+;-;-;-;-;+;+;+;-;-;-;-;-;-;-;-;-;-;+;+;+;-;+;+;+;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
45;+;+;+;+;-;+;-;+;+;+;-;-;+;+;+;+;+;-;+;+;+;+;+;+;+;+;-;-;+;+;-;+;+;-;-;-;-;+;+;+;+;-;+;+;+;-;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+
46;+;+;+;+;+;+;+;-;+;+;-;-;+;+;+;+;+;-;+;-;+;+;-;-;+;-;-;-;+;+;-;+;-;+;-;-;-;+;+;+;-;-;-;-;-;-;-;-;-;+;+;-;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
47;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;-;-;-;+;+;+;-;-;-;-;+;+;-;+;-;+;-;-;-;+;+;+;+;+;-;+;-;+;+;-;+;-;-;-;-;-;+;-;+;-;+;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;+
48;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;+;+;+;+;+;+;-;-;+;+;+;+;-;+;-;-;-;+;+;+;+;+;-;-;-;+;+;-;+;-;+;-;-;-;+;-;+;-;-;-;+;-;-;-;-;+;+;-;-;-;-;-;-;-;-;+
49;+;+;+;+;-;+;-;+;+;+;-;+;-;+;+;+;+;+;+;+;-;-;-;-;-;+;-;-;+;+;+;+;+;-;-;-;-;+;+;+;-;-;-;-;-;-;-;-;-;-;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+;+
50;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;-;+;-;-;-;-;+;-;-;+;-;-;-;-;-;+;-;+;+;+;+;+;+;-;-;-;-;+;-;+;-;-;-;+;-;+;-;+;-;-;-;+;-;-;-;-;+;+;-;-;-;-;-;-;-;-;+
51;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;-;-;-;-;-;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;-;+;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+
52;+;+;+;+;-;+;-;+;+;-;-;+;+;+;+;+;+;-;+;+;+;+;+;+;+;-;-;-;+;+;+;+;-;+;-;-;-;+;+;+;+;-;+;+;+;+;+;-;+;+;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+
53;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;-;-;+;+;+;+;-;-;-;+;-;-;-;-;-;+;-;+;+;+;+;+;+;+;+;+;-;+;+;+;-;+;+;-;-;+;+;+;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
54;+;+;+;+;+;+;+;+;-;-;+;-;+;+;+;+;+;+;+;+;+;+;+;-;+;+;+;+;+;+;+;+;-;+;-;-;-;+;+;+;+;-;+;-;+;+;-;+;+;+;+;+;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
55;+;+;+;+;+;+;+;-;+;-;-;+;+;+;+;+;+;-;+;-;+;+;+;-;-;-;-;-;+;+;+;+;+;-;-;-;-;+;+;+;+;+;+;+;+;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;+;+
56;+;+;+;+;-;+;-;+;-;-;-;-;+;+;+;+;+;-;+;+;+;+;+;-;+;+;-;-;+;+;+;+;-;+;-;-;-;+;+;+;-;-;-;-;-;-;-;-;-;-;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+
57;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;+;+;+;-;+;+;-;+;+;+;+;+;-;+;-;-;-;+;+;+;+;-;-;-;-;+;+;-;+;+;-;+;-;-;+;-;-;-;-;-;-;-;-;-;-;+;+;-;+;-;-;-;-;-;-;+
58;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;-;-;+;+;+;+;+;+;-;-;+;+;+;+;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;+;-;+;-;-;-;-;+;+;+;+;+;-;-;-;-;-;+
59;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;-;-;+;+;-;-;-;-;+;-;+;+;+;-;+;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;+;-;-;-;-;-;-;+;+;-;+;+;-;-;-;-;-;+
60;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;+;+;-;-;-;-;-;+
61;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;-;+;+;+;+;+;+;+;-;+;+;+;-;+;-;+;-;-;-;+;+;+;-;-;-;-;-;-;-;-;-;+;-;-;+;-;+;-;-;-;-;-;-;-;-;-;-;+;+;-;+;-;-;-;-;-;-;+
62;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;-;+;+;+;+;+;+;+;-;-;+;-;-;-;-;-;+;+;+;+;+;+;+;+;+;-;-;+;+;-;+;-;-;+;-;-;+;-;-;-;-;-;-;-;-;-;-;+;+;-;-;+;-;-;-;-;-;+
63;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;-;+;+;+;+;+;+;-;-;-;+;+;+;+;+;-;-;-;-;+;+;+;+;+;-;-;-;-;-;-;+;-;-;+;-;-;+;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;+
64;+;+;+;+;-;+;+;+;-;+;-;+;+;+;+;+;+;-;+;-;+;+;+;+;-;+;+;-;+;+;-;+;-;+;-;-;-;+;+;+;+;+;+;+;+;-;-;-;+;-;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+
65;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;+;+;-;-;-;-;+;+;+;+;+;+;-;-;+;+;-;+;+;-;+;+;-;+;-;-;-;-;-;-;-;-;-;-;+;+;-;+;+;-;-;-;-;-;+
66;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;-;+;-;+;+;+;+;-;+;-;-;+;+;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;+;-;-;-;-;+;+;-;-;-;-;-;-;-;-;+
67;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;+;-;+;-;-;-;+;+;+;+;-;-;+;-;-;+;-;+;-;-;-;-;-;+;-;+;-;+;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;+
68;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;-;-;+;+;+;+;+;+;+;-;+;+;+;-;+;-;+;-;-;-;+;+;+;+;+;+;-;-;+;-;-;+;-;-;+;+;-;+;-;+;-;-;-;+;-;-;-;-;+;+;-;-;+;-;-;-;-;-;+
69;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;-;+;-;-;+;+;+;+;+;-;-;+;+;-;+;-;+;-;-;-;+;+;+;+;+;+;-;+;+;+;-;+;-;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+
70;+;+;+;+;+;+;-;-;+;+;+;+;+;+;+;+;+;+;+;-;+;-;-;-;-;+;+;-;+;+;-;+;-;+;-;-;-;+;+;+;-;-;-;-;-;-;-;-;-;+;+;+;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
71;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;+;-;+;-;-;-;+;+;+;-;-;-;-;-;-;-;-;-;+;+;+;+;-;+;-;+;-;+;-;+;+;-;-;-;+;+;-;+;-;-;-;-;-;-;+
72;+;+;+;+;+;+;+;+;+;+;+;-;+;+;+;+;+;+;+;-;+;-;-;-;-;+;+;+;+;-;-;-;-;-;+;+;+;+;+;+;+;+;+;+;-;+;-;-;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+;+
73;+;+;+;+;+;+;+;+;+;+;+;-;-;+;+;+;+;+;+;+;-;+;+;+;+;-;-;-;+;+;+;+;+;-;-;-;-;+;+;+;-;-;-;-;-;-;-;-;-;-;+;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;+;+
74;+;+;+;+;+;+;-;-;-;+;-;-;+;+;+;+;+;-;+;+;+;-;-;-;-;+;-;-;+;-;-;-;-;-;+;-;+;+;+;+;+;-;-;-;+;-;-;+;+;-;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+
75;+;+;+;+;+;+;+;+;-;-;+;+;-;+;+;+;+;+;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;-;-;-;-;+;+;+;+;+;-;+;+;+;-;+;+;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;+;+
76;+;+;+;+;+;+;-;+;+;+;-;+;-;+;+;+;+;-;+;-;-;+;+;+;+;-;-;-;+;-;-;-;-;-;+;+;+;+;+;+;+;+;+;+;-;+;+;+;+;+;+;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+
77;+;+;+;+;+;+;-;+;-;+;+;-;-;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;+;+;+;+;+;-;-;-;-;+;+;+;+;+;+;+;-;-;+;+;+;+;+;-;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+;+
78;+;+;+;+;+;+;-;+;-;-;-;+;+;+;+;+;+;-;+;+;+;+;-;-;+;+;+;+;+;-;-;-;-;-;+;-;+;+;+;+;-;-;-;-;-;-;-;-;-;+;+;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+
79;+;+;+;+;+;+;-;+;-;-;+;-;+;+;+;+;+;+;+;-;+;+;+;+;+;-;-;-;+;-;-;-;-;-;+;-;+;+;+;+;-;-;-;-;-;-;-;-;-;+;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
80;+;+;+;+;+;+;-;+;+;+;-;-;+;+;+;+;+;-;+;+;+;+;+;+;-;+;-;-;+;-;-;-;-;-;+;+;+;+;+;+;+;-;+;-;+;+;+;-;+;+;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;+;+
