Configuration;Sorting;Sorting_C;SortWP;MetalPlastic;LightDark;CountWP;AlarmFunction;DistributeWP;SeparateWP;HandoverMetal;RejectsWithCap;RejectsWithoutCap;Sorting_M;StationDistributing;Transporter;Gripper;StationInspecting;StationSeparating;StationSorting;Chute1;Chute2;Chute3;StationHandling;Sorting_E;Pneumatics;Switch1;Switch2;EE;MotorOfConveyor;Sensors;Lightbarrier;IndSensor;OptSensor;Sorting_S;CountWPS;Processed;SortingWP;MetalPlasticS;LightDarkS
14;+;+;+;-;+;+;+;+;+;-;+;-;+;+;-;+;-;+;+;+;+;+;+;+;+;-;+;+;+;+;+;-;+;+;+;+;+;-;+
15;+;+;-;-;-;-;-;+;+;-;-;+;+;+;+;-;-;+;+;+;+;+;+;+;+;-;+;+;+;+;+;-;-;+;-;-;+;+;-
16;+;+;-;-;-;-;+;+;+;+;-;-;+;+;+;-;+;-;+;+;+;+;+;+;+;-;+;+;+;+;+;-;-;+;-;-;+;-;+
17;+;+;-;-;-;-;+;+;+;-;-;+;+;+;+;-;-;+;+;+;-;+;+;+;+;-;+;+;+;+;+;-;+;+;-;-;+;+;+
18;+;+;-;-;-;-;-;+;+;-;+;-;+;+;-;+;-;+;-;-;-;-;+;+;+;+;-;+;+;+;+;-;-;+;-;-;+;-;+
19;+;+;-;-;-;-;-;+;+;-;+;-;+;+;-;+;+;-;-;-;-;-;-;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;-
20;+;+;+;+;-;-;+;+;+;-;+;-;+;+;+;-;+;-;+;+;+;+;-;+;+;+;-;+;+;+;+;+;-;+;-;-;+;+;-
21;+;+;+;+;+;-;-;+;+;-;+;-;+;+;+;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;+;+;+
22;+;+;-;-;-;-;+;+;+;-;+;-;+;+;+;-;-;+;-;-;-;-;+;+;+;-;+;+;+;+;+;-;-;+;-;-;+;+;-
23;+;+;+;+;-;-;+;+;+;+;-;-;+;+;+;-;+;+;+;+;+;+;+;+;+;+;-;+;+;+;+;+;+;+;-;-;+;+;-
24;+;+;+;+;-;-;-;+;+;+;-;-;+;+;-;+;-;-;+;+;+;-;-;+;+;+;-;+;+;+;+;+;-;+;-;-;+;+;-
25;+;+;+;+;-;+;-;+;+;-;-;+;+;+;-;+;+;-;+;+;+;-;+;+;+;+;-;+;+;+;+;+;+;+;+;+;+;+;-
26;+;+;-;-;-;+;-;+;+;+;-;-;+;+;-;+;+;-;-;-;-;-;-;+;+;+;-;+;+;+;+;+;+;+;+;+;+;-;+
27;+;+;+;+;-;+;-;+;+;-;-;+;+;+;+;-;-;+;+;+;+;+;-;+;+;+;-;+;+;+;+;+;-;+;+;+;+;+;-
28;+;+;-;-;-;-;-;+;+;-;-;+;+;+;+;-;-;+;+;+;-;+;+;+;+;+;-;+;+;+;+;-;+;+;-;-;+;-;+
29;+;+;+;+;-;-;+;+;-;-;-;-;+;+;+;-;+;+;+;+;+;+;+;+;+;+;-;+;+;+;+;+;+;+;-;-;+;+;-
30;+;+;-;-;-;-;-;+;+;-;-;+;+;+;+;-;+;+;-;-;-;-;+;+;+;+;-;+;+;+;+;-;-;+;-;-;+;-;+
31;+;+;+;+;-;-;-;+;+;-;-;+;+;+;+;-;-;+;+;+;+;-;+;+;+;+;-;+;+;+;+;+;+;+;-;-;+;+;-
32;+;+;-;-;-;+;+;+;+;-;-;+;+;+;+;-;+;-;-;-;-;-;+;+;+;+;-;+;+;+;+;-;-;+;+;+;+;+;-
33;+;+;-;-;-;-;+;+;+;+;-;-;+;+;+;-;-;+;-;-;-;-;-;+;+;+;-;+;+;+;+;+;+;+;-;-;+;-;+
34;+;+;+;-;+;-;-;+;+;+;-;-;+;+;+;-;-;-;+;+;-;+;-;+;+;+;+;+;+;+;+;-;+;+;-;-;+;-;+
35;+;+;+;-;+;-;-;+;+;-;-;+;+;+;-;+;+;-;+;+;-;+;+;+;+;-;+;+;+;+;+;-;+;+;-;-;+;-;+
36;+;+;+;-;+;+;+;+;+;+;-;-;+;+;+;-;+;+;+;+;-;+;+;+;+;-;+;+;+;+;+;+;+;+;+;+;+;-;+
37;+;+;-;-;-;+;+;+;-;-;-;-;+;+;+;-;+;+;-;-;-;-;+;+;+;-;+;+;+;+;+;+;+;+;+;+;+;-;+
38;+;+;-;-;-;-;+;+;-;-;-;-;+;+;-;+;+;+;-;-;-;-;-;+;+;-;+;+;+;+;+;-;-;+;-;-;+;-;+
39;+;+;+;-;+;+;-;+;-;-;-;-;+;+;-;+;-;+;+;+;-;+;+;+;+;-;+;+;+;+;+;-;+;+;+;+;+;-;+
40;+;+;+;-;+;-;+;+;+;-;-;+;+;+;+;-;+;+;+;+;-;+;-;+;+;-;+;+;+;+;+;-;+;+;-;-;+;-;+
41;+;+;-;-;-;-;+;+;+;-;-;+;+;+;-;+;-;+;-;-;-;-;+;+;+;-;+;+;+;+;+;-;+;+;-;-;+;-;+
42;+;+;+;+;+;+;+;+;+;+;-;-;+;+;-;+;+;-;+;+;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
43;+;+;+;+;+;-;-;+;-;-;-;-;+;+;-;+;-;-;+;+;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
44;+;+;-;-;-;+;-;+;+;+;-;-;+;+;-;+;-;-;-;-;-;-;-;+;+;-;+;+;+;+;+;-;-;+;+;+;+;+;-
45;+;+;+;+;+;+;+;+;-;-;-;-;+;+;-;+;+;-;+;+;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
46;+;+;+;+;+;-;-;+;-;-;-;-;+;+;+;-;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;+;+;+
47;+;+;-;-;-;-;-;+;+;-;-;+;+;+;-;+;-;-;-;-;-;-;-;+;+;-;+;+;+;+;+;+;-;+;-;-;+;+;-
48;+;+;-;-;-;-;-;+;+;+;-;-;+;+;-;+;-;+;-;-;-;-;+;+;+;+;+;+;+;+;+;-;-;+;+;+;+;+;-
49;+;+;+;+;-;-;+;+;-;-;-;-;+;+;-;+;-;+;+;+;+;+;-;+;+;+;+;+;+;+;+;+;+;+;-;-;+;+;-
50;+;+;+;+;-;-;+;+;+;-;-;+;+;+;-;+;+;+;+;+;+;-;+;+;+;+;+;+;+;+;+;+;-;+;-;-;+;+;+
51;+;+;-;-;-;-;+;+;+;-;-;+;+;+;+;-;+;+;+;+;-;-;+;+;+;-;+;+;+;+;+;-;-;+;+;+;+;+;-
52;+;+;-;-;-;-;-;+;-;-;-;-;+;+;-;+;+;+;+;+;-;+;-;+;+;-;+;+;+;+;+;-;-;+;-;-;+;+;-
53;+;+;-;-;-;+;-;+;-;-;-;-;+;+;+;-;-;+;-;-;-;-;-;+;+;-;+;+;+;+;+;-;+;+;+;+;+;+;-
54;+;+;+;+;+;+;+;+;+;-;-;+;+;+;-;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
55;+;+;-;-;-;-;+;+;+;-;-;+;+;+;+;-;-;+;-;-;-;-;+;+;+;-;+;+;+;+;+;-;-;+;-;-;+;+;-
